Taxon	H18676	1417.16	H19192	602.16	H18266	H18112	H19465A	1153.13	H19457A	1303.15	H657.17	H19259	1331.14	H19521A	H18788A	H192472A	1553.15	H19485A	H18398	950.13	H18910	1066.13	H18442	1069.14	H19142	H15.17	H617.17	H18362	888.16	1637.15	H19497A	H18128	1388.15	725.16	H18421	H18696	1134.15	H18388	1624.12	1093.13	H18786A	H13.17	250.16	H420.17	H18816	H658.17	H456.17	1097.16	H18199	H18122	1017.16	H17666A	H17432A	H694.17	H18689A	505.16	H19368	945.13	1045.16	H18828	125.13	172.14	100.16	783.16	H321.17	H18183	1095.16	H1866.18	H19261	H19556A	H18223	H18433	1948.15	856.16	727.16	H470.17	1714.14	H18108	H18598	H315.17	H1892.18	H18335	1659.14	788.16	H18.38	H19238	1529.16	421.13
Bacteria;Acidobacteria	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	0.0	0.0	8.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	7.0
Bacteria;Actinobacteria	5055.0	2974.0	5450.0	5391.0	2865.0	1867.0	2444.0	3353.0	2753.0	5085.0	461.0	442.0	3017.0	4864.0	2252.0	3584.0	2233.0	5624.0	2406.0	2996.0	1999.0	2868.0	1132.0	5592.0	3121.0	22258.0	3065.0	2063.0	4203.0	2826.0	2187.0	3906.0	3617.0	6732.0	1067.0	1234.0	2649.0	3105.0	4566.0	2380.0	7683.0	2574.0	2653.0	4541.0	2256.0	2252.0	3239.0	3737.0	2345.0	1768.0	3220.0	1220.0	1840.0	6390.0	4115.0	1901.0	1153.0	4115.0	2243.0	3304.0	1238.0	5950.0	3970.0	2951.0	3023.0	2244.0	3003.0	1474.0	2596.0	2432.0	2144.0	2040.0	3924.0	6700.0	3070.0	3108.0	1506.0	3774.0	2119.0	6335.0	3204.0	2815.0	6261.0	3211.0	4986.0	1654.0	4170.0	1972.0
Bacteria;Armatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes	6027.0	4564.0	5129.0	2682.0	2306.0	9034.0	4191.0	7303.0	1664.0	5896.0	6091.0	12040.0	34575.0	5004.0	1662.0	1336.0	3637.0	6614.0	2731.0	3733.0	1798.0	17015.0	4539.0	4806.0	5076.0	2431.0	1687.0	1089.0	3597.0	3187.0	5936.0	1948.0	4778.0	8119.0	3231.0	2135.0	6295.0	4957.0	7319.0	2793.0	16911.0	2056.0	3921.0	5581.0	1881.0	828.0	4659.0	5027.0	3122.0	1794.0	3779.0	1696.0	1649.0	3351.0	2598.0	5549.0	10824.0	6656.0	3343.0	5853.0	4307.0	4732.0	5023.0	5316.0	4730.0	1557.0	4537.0	2778.0	13040.0	3768.0	3603.0	4346.0	9815.0	6926.0	9838.0	2334.0	6746.0	1917.0	1835.0	9083.0	3662.0	3340.0	3965.0	5892.0	2075.0	2968.0	3516.0	1591.0
Bacteria;Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	29.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0
Bacteria;Chlorobi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi	0.0	0.0	556.0	0.0	0.0	0.0	0.0	128.0	0.0	1008.0	74.0	4.0	15.0	0.0	468.0	0.0	3.0	2.0	1.0	0.0	37.0	0.0	0.0	47.0	0.0	182.0	11.0	0.0	9.0	178.0	0.0	0.0	2.0	114.0	0.0	0.0	0.0	0.0	177.0	26.0	1224.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	62.0	0.0	0.0	0.0	0.0	178.0	64.0	0.0	0.0	170.0	0.0	0.0	0.0	11.0	58.0	0.0	0.0	2.0	75.0	0.0	0.0	90.0	0.0	66.0	0.0	0.0	62.0	0.0	0.0	0.0	475.0	0.0	1.0	0.0	2.0	43.0	12.0	0.0	306.0	259.0
Bacteria;Cyanobacteria	1294.0	511.0	625.0	610.0	835.0	98.0	1893.0	0.0	457.0	435.0	140.0	4.0	43.0	318.0	216.0	1280.0	182.0	1339.0	2.0	636.0	204.0	381.0	11545.0	75.0	110.0	541.0	216.0	8135.0	117.0	329.0	393.0	756.0	2153.0	1109.0	218.0	1041.0	1082.0	836.0	816.0	371.0	226.0	139.0	39.0	1994.0	216.0	0.0	354.0	269.0	92.0	1059.0	335.0	1.0	1495.0	4.0	287.0	11.0	10.0	114.0	105.0	1736.0	247.0	0.0	354.0	342.0	54.0	965.0	72.0	595.0	108.0	305.0	115.0	626.0	373.0	782.0	0.0	111.0	267.0	542.0	46.0	5.0	0.0	157.0	0.0	611.0	4807.0	322.0	4136.0	95.0
Bacteria;Deinococcus-Thermus	0.0	152.0	0.0	102.0	0.0	0.0	95.0	0.0	350.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	2.0	59.0	0.0	1.0	2.0	0.0	4.0	67.0	1163.0	67.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	129.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	64.0	275.0	0.0	0.0	31.0	0.0	105.0	0.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	122.0	13.0	0.0	13.0	1092.0	140.0	0.0	0.0	0.0	0.0	0.0	233.0	0.0	1956.0	110.0	0.0	591.0	0.0	0.0	0.0	317.0
Bacteria;Elusimicrobia	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes	16887.0	27393.0	36832.0	31970.0	32872.0	7980.0	9595.0	24350.0	11048.0	20123.0	3968.0	59594.0	9084.0	29399.0	9277.0	13517.0	39847.0	20346.0	38601.0	22625.0	19339.0	25029.0	20774.0	32640.0	21381.0	13530.0	10534.0	26607.0	18218.0	30760.0	29003.0	13504.0	32352.0	28386.0	46155.0	16318.0	27253.0	20157.0	27820.0	17247.0	20802.0	18074.0	41441.0	17708.0	11254.0	6704.0	20501.0	21322.0	45454.0	27435.0	37730.0	16868.0	7900.0	15547.0	23428.0	38235.0	41680.0	33532.0	35760.0	22395.0	17992.0	57020.0	17262.0	30742.0	13174.0	5254.0	38804.0	7685.0	41617.0	26836.0	40292.0	14786.0	25598.0	35221.0	42161.0	16446.0	25684.0	8907.0	21903.0	37939.0	22326.0	20697.0	44248.0	34939.0	12967.0	10278.0	34907.0	18279.0
Bacteria;Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	42.0	19.0	6.0	24.0	0.0	19.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	593.0	0.0	0.0	2.0	0.0	32.0	0.0	2.0	0.0	0.0	530.0	1.0	0.0	6.0	310.0	0.0	17.0	26.0	0.0	12.0	4.0	3.0	0.0	1.0	0.0	94.0	0.0	0.0	0.0	33.0	0.0	1.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	14.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Gemmatimonadetes	123.0	0.0	1.0	0.0	0.0	0.0	226.0	158.0	490.0	50.0	0.0	4.0	643.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	17.0	181.0	0.0	6.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	117.0	0.0	711.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	47.0	94.0	0.0	60.0	109.0	0.0	9.0	0.0	0.0	0.0	0.0	4.0	326.0	0.0	0.0	1.0	0.0	16.0	0.0	19.0	0.0	0.0	7.0	19.0	78.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	108.0	178.0	0.0	0.0	211.0	0.0
Bacteria;Nitrospirae	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	2.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Other	0.0	173.0	1.0	351.0	548.0	0.0	410.0	428.0	133.0	268.0	24.0	5.0	13.0	5.0	613.0	395.0	59.0	47.0	308.0	24.0	40.0	75.0	305.0	444.0	493.0	0.0	411.0	70.0	0.0	103.0	309.0	0.0	0.0	359.0	5.0	0.0	0.0	1.0	47.0	357.0	9.0	452.0	4.0	100.0	3.0	0.0	775.0	504.0	18.0	82.0	0.0	43.0	303.0	177.0	9.0	103.0	13.0	250.0	134.0	90.0	0.0	4.0	141.0	0.0	7.0	313.0	0.0	127.0	4.0	9.0	111.0	47.0	247.0	0.0	37.0	213.0	1.0	791.0	220.0	0.0	938.0	0.0	197.0	9.0	0.0	0.0	195.0	821.0
Bacteria;Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	258.0	113.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
