"","Otu15","Otu10","Otu43","Otu182","Otu189","Otu250","Otu476","Otu63","Otu1297","Otu377","Otu584","Otu159","Otu77","Otu119","Otu133","Otu101","Otu73","Otu56","Otu20","Otu33","Otu200","Otu2","Otu29","Otu127","Otu140","Otu217","Otu36","Otu66","Otu65","Otu16","Otu216","Otu91","Otu92","Otu118","Otu180","Otu359","Otu74","Otu75","Otu1308","Otu574"
"Min.",0.0486577181208054,0.00191618602333915,0,0,0,0,0,0,0,0.0435569711571182,0,0,0,0,0,0.00816693209195966,0,0,0,0.0136115534865994,0,0.0525260902619393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st Qu.",0.905515784032806,0.256430309999972,0,0,0,0,0,0.00179940176582589,0,4.85670094211288,0,0,0.0536108606143594,0,0.00439681384182151,0.645974304296797,0.067431166155523,0.24417059126472,0.0202195487340987,1.01543394977577,0,0.528020057220649,0,0.0427280679964497,0,0,0.158294689185733,0,0.0845000453536249,0.0705888546036212,0,0.0686243407243431,0,0.00282553519076358,0.00178574673677698,0,0.117060694758722,0.00445114552238963,0.00344166913481862,0
"Median",1.65819712310576,0.78920189543574,0.00149759441678064,0.00184611979854597,0.0895406022712653,0.068165473870067,0,0.0969639744404368,0.0478058685195419,8.82314800980048,0,0,0.16547294605482,0,0.177037587471777,1.2265035994091,0.283859952414301,0.493688499181822,0.314541272208894,1.90852286641593,0.042989890439076,1.32507380532289,0.0369430854072238,0.189308783221048,0.0900325956987093,0,0.650099850131815,0.0410453550274161,0.282374281782978,0.245494001831982,0.00163186953593585,0.200811365456548,0,0.124706264289147,0.0737356813111812,0,0.291626009607849,0.0413865524710788,0.118949161289946,0
"Mean",1.79713115432804,1.30727909001554,0.182745721629045,0.0813157041297871,0.152004967290537,0.155709583355471,0.0516550995866151,0.316915512123903,0.164754179743276,9.85583298955117,0.0155339286278359,0.0721084466831516,0.338493486164227,0.0863177488956366,0.287639719274571,1.53779752513275,0.438322779359775,0.781696589023552,0.658961573580909,2.21628207139315,0.124791391200146,1.94619951997514,0.20457545917199,0.286477402398407,0.18170298763061,0.0289499712015332,0.832302459419043,0.204333962265667,0.429727354799238,0.534104600711674,0.0824869366164343,0.32630928366276,0.0969542404834368,0.254473147233975,0.176198641468664,0.0736110233944445,0.493817176556764,0.260491942353267,0.231825135403048,0.00656868010968285
"3rd Qu.",2.496058857179,1.66530641555596,0.0884320600168936,0.109208628412206,0.212401126144032,0.285729622949843,0.0560011276084875,0.420439395401101,0.226858517267845,13.3334889862017,0.000346783925871468,0.0156399337619961,0.478691974639276,0.0594567128595413,0.469970003469605,2.25912322444104,0.632305905840997,1.06259809371241,0.871152153115986,3.07245477881415,0.153374377737793,1.97335266976169,0.13812379712563,0.45571645077278,0.295925580013035,0,1.26237922695032,0.246167467867644,0.626277021669951,0.613417706539895,0.0789434082619912,0.494606817104308,0.0814294026427681,0.373319215442999,0.281432437180495,0.0253574907839367,0.732322789577936,0.37324210855552,0.390502071806077,0
"Max.",5.87462851613795,16.5914005851673,3.45370356220487,0.80004016938089,0.891556753372262,0.584993778381086,0.408761003556543,1.90425633277526,1.2707427964947,30.8122031715367,0.215792238985214,1.10002357193368,2.77817285355331,1.11414757199916,1.34328108533097,4.92249540520859,2.49248875535565,3.91252006420546,5.37656362720677,6.94767139438915,0.760273632252828,41.5859329587289,5.01856747711539,1.32170542635659,1.11355485545582,0.818324119756682,3.81123497624784,1.88111669184804,2.45256228217374,7.03691275167785,0.720355003681372,1.59124583281887,1.416658770018,1.44643246349244,0.974843328750736,0.883652430044183,2.16034043610611,2.17467945744345,1.12303379813958,0.183013060477498
