OTU,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,OTU,BAM.Score,Family,Genus,Species
Otu15,0.0486577181208054,0.905515784032806,1.65819712310576,1.79713115432804,2.496058857179,5.87462851613795,Otu15,0.7314089447180631,F_Bifidobacteriaceae,G_Bifidobacterium,G_Bifidobacterium_Unclassified
Otu10,0.0019161860233391,0.256430309999972,0.78920189543574,1.30727909001554,1.66530641555596,16.5914005851673,Otu10,0.7059432714266465,F_Oxalobacteraceae,G_Herbaspirillum,S_Herbaspirillum_huttiense
Otu43,0.0,0.0,0.0014975944167806,0.182745721629045,0.0884320600168936,3.45370356220487,Otu43,0.6606498042626159,F_Bacillaceae,G_Bacillus,G_Bacillus_Unclassified
Otu182,0.0,0.0,0.0018461197985459,0.0813157041297871,0.109208628412206,0.80004016938089,Otu182,0.5620807401195234,F_Ruminococcaceae,G_Ruminococcus,G_Ruminococcus_Unclassified
Otu189,0.0,0.0,0.0895406022712653,0.152004967290537,0.212401126144032,0.891556753372262,Otu189,0.5561250558269234,F_Porphyromonadaceae,G_Parabacteroides,S_Parabacteroides_distasonis
Otu250,0.0,0.0,0.068165473870067,0.155709583355471,0.285729622949843,0.584993778381086,Otu250,0.5137005402964092,F_Enterococcaceae,G_Enterococcus,S_Enterococcus_durans
Otu476,0.0,0.0,0.0,0.0516550995866151,0.0560011276084875,0.408761003556543,Otu476,0.46299121610918936,F_Lactobacillaceae,G_Lactobacillus,G_Lactobacillus_Unclassified
Otu63,0.0,0.0017994017658258,0.0969639744404368,0.316915512123903,0.420439395401101,1.90425633277526,Otu63,0.43056305614755375,F_Lachnospiraceae,G_Lachnospira,G_Lachnospira_Unclassified
Otu1297,0.0,0.0,0.0478058685195419,0.164754179743276,0.226858517267845,1.2707427964947,Otu1297,0.4268676563196292,F_Lachnospiraceae,F_Lachnospiraceae_Unclassified,F_Lachnospiraceae_Unclassified
Otu377,0.0435569711571182,4.85670094211288,8.82314800980048,9.85583298955117,13.3334889862017,30.8122031715367,Otu377,0.4035355295937369,F_Sphingomonadaceae,G_Sphingomonas,S_Sphingomonas_paucimobilis
Otu584,0.0,0.0,0.0,0.0155339286278359,0.0003467839258714,0.215792238985214,Otu584,0.4022415042582445,F_Erysipelotrichaceae,F_Erysipelotrichaceae_Unclassified,F_Erysipelotrichaceae_Unclassified
Otu159,0.0,0.0,0.0,0.0721084466831516,0.0156399337619961,1.10002357193368,Otu159,0.3870395121106602,C_Gemmatimonadetes_Unclassified,C_Gemmatimonadetes_Unclassified,C_Gemmatimonadetes_Unclassified
Otu77,0.0,0.0536108606143594,0.16547294605482,0.338493486164227,0.478691974639276,2.77817285355331,Otu77,0.3788731001255007,F_Pseudomonadaceae,G_Pseudomonas,S_Pseudomonas_azotoformans
Otu119,0.0,0.0,0.0,0.0863177488956366,0.0594567128595413,1.11414757199916,Otu119,0.37398031839627954,F_Erysipelotrichaceae,G_Catenibacterium,G_Catenibacterium_Unclassified
Otu133,0.0,0.0043968138418215,0.177037587471777,0.287639719274571,0.469970003469605,1.34328108533097,Otu133,0.35734783440635165,F_Ruminococcaceae,F_Ruminococcaceae_Unclassified,F_Ruminococcaceae_Unclassified
Otu101,0.0081669320919596,0.645974304296797,1.2265035994091,1.53779752513275,2.25912322444104,4.92249540520859,Otu101,0.35540305762003915,F_Moraxellaceae,G_Acinetobacter,S_Acinetobacter_guillouiae
Otu73,0.0,0.067431166155523,0.283859952414301,0.438322779359775,0.632305905840997,2.49248875535565,Otu73,0.3445944141594803,F_Lachnospiraceae,G_Roseburia,G_Roseburia_Unclassified
Otu56,0.0,0.24417059126472,0.493688499181822,0.781696589023552,1.06259809371241,3.91252006420546,Otu56,0.3439967363073716,F_Oxalobacteraceae,G_Undibacterium,S_Undibacterium_pigrum
Otu20,0.0,0.0202195487340987,0.314541272208894,0.658961573580909,0.871152153115986,5.37656362720677,Otu20,0.34389507660277524,F_Ruminococcaceae,G_Subdoligranulum,G_Subdoligranulum_Unclassified
Otu33,0.0136115534865994,1.01543394977577,1.90852286641593,2.21628207139315,3.07245477881415,6.94767139438915,Otu33,0.3404634718005875,F_Comamonadaceae,G_Curvibacter,G_Curvibacter_Unclassified
Otu200,0.0,0.0,0.042989890439076,0.124791391200146,0.153374377737793,0.760273632252828,Otu200,0.33964076643773505,F_Xanthomonadaceae,G_Stenotrophomonas,G_Stenotrophomonas_Unclassified
Otu2,0.0525260902619393,0.528020057220649,1.32507380532289,1.94619951997514,1.97335266976169,41.5859329587289,Otu2,0.3294351783090518,F_Sphingomonadaceae,G_Sphingomonas,G_Sphingomonas_Unclassified
Otu29,0.0,0.0,0.0369430854072238,0.20457545917199,0.13812379712563,5.01856747711539,Otu29,0.31373823176543514,F_Streptococcaceae,G_Streptococcus,S_Streptococcus_pyogenes
Otu127,0.0,0.0427280679964497,0.189308783221048,0.286477402398407,0.45571645077278,1.32170542635659,Otu127,0.3116979827454062,F_Lachnospiraceae,G_Dorea,G_Dorea_Unclassified
Otu140,0.0,0.0,0.0900325956987093,0.18170298763061,0.295925580013035,1.11355485545582,Otu140,0.30301704183774636,F_Streptococcaceae,G_Streptococcus,S_Streptococcus_parasanguinis
Otu217,0.0,0.0,0.0,0.0289499712015332,0.0,0.818324119756682,Otu217,0.29227036872698714,F_Staphylococcaceae,G_Staphylococcus,S_Staphylococcus_sciuri
Otu36,0.0,0.158294689185733,0.650099850131815,0.832302459419043,1.26237922695032,3.81123497624784,Otu36,0.2916558797622879,F_Bacteroidaceae,G_Bacteroides,S_Bacteroides_vulgatus_ATCC_8482
Otu66,0.0,0.0,0.0410453550274161,0.204333962265667,0.246167467867644,1.88111669184804,Otu66,0.2897230849511074,F_Ruminococcaceae,F_Ruminococcaceae_Unclassified,F_Ruminococcaceae_Unclassified
Otu65,0.0,0.0845000453536249,0.282374281782978,0.429727354799238,0.626277021669951,2.45256228217374,Otu65,0.259948560228447,F_Lachnospiraceae,G_Lachnospira,G_Lachnospira_Unclassified
Otu16,0.0,0.0705888546036212,0.245494001831982,0.534104600711674,0.613417706539895,7.03691275167785,Otu16,0.2561912879040602,F_Bacteroidaceae,G_Bacteroides,S_Bacteroides_uniformis
Otu216,0.0,0.0,0.0016318695359358,0.0824869366164343,0.0789434082619912,0.720355003681372,Otu216,0.24195568419729052,F_Rikenellaceae,G_Alistipes,S_Alistipes_onderdonkii_DSM_19147
Otu91,0.0,0.0686243407243431,0.200811365456548,0.32630928366276,0.494606817104308,1.59124583281887,Otu91,0.23708119587831036,F_Methylophilaceae,F_Methylophilaceae_Unclassified,F_Methylophilaceae_Unclassified
